description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
*****Quest Recipes*****																																																																																																								0
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
*****Resistance Jewelry Recipes*****																																																																																																								0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	amu,mag	gpv	gpy	gpb	gpg	gpr	gpw	amu,mag,pre=331		100																																																																																					0
1 ring + 1 perfect ruby -> garnet ring	1			0					2	rin,mag	gpr						rin,mag,pre=372		100																																																																																					0
1 ring + 1 perfect sapphire -> cobalt ring	1			0					2	rin,mag	gpb						rin,mag,pre=353		100																																																																																					0
1 ring + 1 perfect topaz -> coral ring	1			0					2	rin,mag	gpy						rin,mag,pre=392		100																																																																																					0
1 ring + 1 emerald -> jade ring	1			0					2	rin,mag	gpg						rin,mag,pre=412		100																																																																																					0
1 small charm + 2 perfect ruby -> ruby small charm	1			100					3	cm1	gpr,qty=2						cm1,mag,pre=369		100																																																																																					0
1 small charm + 2 perfect sapphire -> sapphire small charm	1			100					3	cm1	gpb,qty=2						cm1,mag,pre=349		100																																																																																					0
1 small charm + 2 perfect topaz -> amber small charm	1			100					3	cm1	gpy,qty=2						cm1,mag,pre=388		100																																																																																					0
1 small charm + 2 perfecct emerald -> emerald small charm	1			100					3	cm1	gpg,gty=2						cm1,mag,pre=408		100																																																																																					0
*****Staff of Teleportation*****																																																																																																								0
magic staff + magic ring + tome of town portal -> magic staff of teleportation	1			100					3	staf,mag	rin,mag	tbk					usetype,mag,suf=532	1																																																																																						0
*****Skill Tab Charms -- Grand Charm + Unique Ring + 1-3 Flawless Gems*****																																																																																																								0
amazon tab 1 charm	1			100				ama	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=430		100																																																																																					0
amazon tab 2 charm	1			100				ama	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=431		100																																																																																					0
amazon tab 3 charm	1			100				ama	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=432		100																																																																																					0
sorceress tab 1 charm	1			100				sor	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=442		100																																																																																					0
sorceress tab 2 charm	1			100				sor	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=443		100																																																																																					0
sorceress tab 3 charm	1			100				sor	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=444		100																																																																																					0
necromancer tab 1 charm	1			100				nec	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=454		100																																																																																					0
necromancer tab 2 charm	1			100				nec	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=455		100																																																																																					0
necromancer tab 3 charm	1			100				nec	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=456		100																																																																																					0
paladin tab 1 charm	1			100				pal	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=466		100																																																																																					0
paladin tab 2 charm	1			100				pal	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=467		100																																																																																					0
paladin tab 3 charm	1			100				pal	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=468		100																																																																																					0
barbarian tab 1 charm	1			100				bar	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=478		100																																																																																					0
barbarian tab 2 charm	1			100				bar	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=479		100																																																																																					0
barbarian tab 3 charm	1			100				bar	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=480		100																																																																																					0
druid tab 1 charm	1			100				dru	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=490		100																																																																																					0
druid tab 2 charm	1			100				dru	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=491		100																																																																																					0
druid tab 3 charm	1			100				dru	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=492		100																																																																																					0
assassin tab 1 charm	1			100				ass	3	cm3,mag	rin,uni	gem3					cm3,mag,pre=502		100																																																																																					0
assassin tab 2 charm	1			100				ass	4	cm3,mag	rin,uni	gem3,qty=2					cm3,mag,pre=503		100																																																																																					0
assassin tab 3 charm	1			100				ass	5	cm3,mag	rin,uni	gem3,qty=3					cm3,mag,pre=504		100																																																																																					0
*****Recycling Recipes*****																																																																																																								0
2 rings -> 1 ring	1			0					2	rin,mag,qty=2							rin		100																																																																																					0
2 amulets -> 1 amulet	1			0					2	amu,mag,qty=2							amu		100																																																																																					0
2 arrows -> bolts	1			0					2	aqv,qty=2							cqv																																																																																							0
2 bolts -> arrows	1			0					2	cqv,qty=2							aqv																																																																																							0
*****Commodity Upgrade Recipes*****																																																																																																								0
3 small rejuvs -> 1 large	1			0					3	rvs,qty=3							rvl																																																																																							0
2 chipped amethysts -> flawed amethyst	1			0					2	gcv,qty=2							gfv																																																																																							0
2 flawed amethysts -> standard amethyst	1			0					2	gfv,qty=2							gsv																																																																																							0
2 standard amethysts -> flawless amethyst	1			0					2	gsv,qty=2							gzv																																																																																							0
2 flawless amethysts -> perfect amethyst	1			0					2	gzv,qty=2							gpv																																																																																							0
2 chipped rubies -> flawed ruby	1			0					2	gcr,qty=2							gfr																																																																																							0
2 flawed rubies -> standard ruby	1			0					2	gfr,qty=2							gsr																																																																																							0
2 standard rubies -> flawless ruby	1			0					2	gsr,qty=2							glr																																																																																							0
2 flawless rubies -> perfect ruby	1			0					2	glr,qty=2							gpr																																																																																							0
